phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,phenotype_value,obs_unit_id
FT16,403,Zdarec3,CS78873,16.2667,49.3667,Czech Republic,54.25,6583
FT16,410,Doubravnik7,CS76808,16.3497,49.4211,Czech Republic,65.25,6584
FT16,424,Draha2,CS76812,16.2815,49.4112,Czech Republic,68.25,6585
FT16,428,Borky1,CS76718,16.232,49.403,Czech Republic,59.0,6586
FT16,430,Gr-1,CS76496,15.5,47.0,Austria,55.0,6587
FT16,4779,UKSW06-179,CS78808,-4.9,50.4,UK,50.25,6588
FT16,4807,UKSW06-207,CS78809,-4.9,50.4,UK,87.5,6589
FT16,4826,UKSW06-226,CS78810,-4.9,50.4,UK,51.0,6590
FT16,4884,UKSW06-285,CS78811,-4.9,50.3,UK,49.5,6591
FT16,4900,UKSW06-302,CS78812,-4.8,50.3,UK,50.25,6592
FT16,4931,UKSW06-333,,-4.6,50.327643,UK,48.0,6593
FT16,4958,UKSW06-360,CS78814,-4.5,50.5,UK,100.25,6594
FT16,5023,UKSE06-118,CS78799,0.5,51.3,UK,43.75,6595
FT16,5104,UKSE06-252,CS78800,0.5,51.3,UK,40.75,6596
FT16,5151,UKSE06-325,CS78801,-1.7,52.2,UK,73.66666667,6597
FT16,5165,UKSE06-362,CS78802,0.4,51.3,UK,81.75,6598
FT16,5210,UKSE06-432,CS78803,0.3,51.2,UK,78.0,6599
FT16,5236,UKSE06-470,CS78804,0.4,51.2,UK,43.5,6600
FT16,5253,UKSE06-500,CS78805,0.6,51.1,UK,38.0,6601
FT16,5276,UKSE06-533,CS78806,1.1,51.3,UK,49.75,6602
FT16,5349,UKSE06-639,CS78807,0.4,51.1,UK,97.33333333,6603
FT16,5353,UKNW06-003,CS78792,-3.0,54.5,UK,62.5,6604
FT16,5486,UKNW06-233,CS78794,-3.3,54.6,UK,37.5,6606
FT16,5506,UKNW06-281,,-3.1,54.6,UK,132.0,6607
FT16,5535,UKNW06-354,,-3.1,54.6,UK,70.75,6608
FT16,5577,UKNW06-403,CS78797,-3.4,54.7,UK,51.0,6609
FT16,5644,UKNW06-481,CS78798,-2.9,54.4,UK,46.25,6610
FT16,5720,Cal-2,CS78781,-1.6,53.3,UK,63.33333333,6611
FT16,5726,Cnt-1,CS78782,1.1,51.3,UK,48.0,6612
FT16,5741,For-2,CS78783,-4.1,56.6,UK,88.5,6613
FT16,5748,Kil-0,CS78784,-4.4,56.0,UK,41.75,6614
FT16,5757,Mc-1,CS78785,-2.3,54.6,UK,66.66666667,6615
FT16,5768,UKID63,CS78786,-1.5,54.1,UK,85.0,6616
FT16,5772,Set-1,CS78787,-2.3,54.1,UK,49.0,6617
FT16,5778,Sna-1,,1.5,52.2,UK,42.5,6618
FT16,5779,UKID74,CS78789,-3.1,51.0,UK,67.0,6619
FT16,5784,Ty-1,CS78790,-5.2,56.4,UK,69.25,6620
FT16,5800,UKID96,CS78791,-5.5,57.4,UK,39.0,6621
FT16,5811,UKID107,CS78778,-3.1,52.9,UK,46.0,6622
FT16,5818,UKID114,,-0.6,51.8,UK,40.33333333,6623
FT16,5822,UKID116,CS78780,-5.98333,56.7333,UK,111.0,6624
FT16,5829,Ale1-2,,14.06125,55.38383,Sweden,53.66666667,6625
FT16,5830,App1-12,CS76667,15.9667,56.3333,Sweden,75.33333333,6626
FT16,5831,App1-14,CS76668,15.9667,56.3333,Sweden,93.0,6627
FT16,5832,App1-16,CS76669,15.9667,56.3333,Sweden,87.33333333,6628
FT16,5835,Bil-3,,18.484,63.324,Sweden,43.5,6629
FT16,5837,Bor-1,CS76453,16.2326,49.4013,Czech Republic,55.25,6630
FT16,5865,Dra1-4,CS76809,14.12,55.76,Sweden,101.0,6632
FT16,5874,DraII-6,CS76814,16.2815,49.4112,Czech Republic,69.25,6634
FT16,5890,DraIV 1-8,CS76817,16.2815,49.4112,Czech Republic,55.25,6635
FT16,5893,DraIV 1-11,CS76816,16.2815,49.4112,Czech Republic,64.25,6636
FT16,5907,DraIV 2-9,CS76818,16.2815,49.4112,Czech Republic,48.5,6637
FT16,5921,DraIV 3-7,CS76819,16.2815,49.4112,Czech Republic,55.75,6638
FT16,5950,DraIV 5-12,CS76820,16.2815,49.4112,Czech Republic,65.5,6639
FT16,5964,DraIV 5-28,,16.2815,49.4112,Czech Republic,56.5,6640
FT16,5984,DraIV 6-13,CS76822,16.2815,49.4112,Czech Republic,41.75,6641
FT16,5993,DraIV 6-22,CS76823,16.2815,49.4112,Czech Republic,64.75,6642
FT16,6008,Duk,CS76824,16.2,49.1,Czech Republic,43.0,6643
FT16,6009,Eden-1,CS76826,18.177,62.877,Sweden,113.5,6644
FT16,6011,Eden-6,CS76828,18.177,62.877,Sweden,112.5,6645
FT16,6012,Eden-7,CS76829,18.177,62.877,Sweden,125.0,6646
FT16,6013,Eden-9,CS76830,18.177,62.877,Sweden,93.0,6647
FT16,6016,Eds-1,CS76834,18.4,62.9,Sweden,83.5,6648
FT16,6017,Eds-9,CS76835,18.4,62.9,Sweden,104.0,6649
FT16,6020,Fjä1-5,CS76861,14.29,56.06,Sweden,87.25,6651
FT16,6021,Fjä2-4,CS76862,14.29,56.06,Sweden,87.0,6652
FT16,6023,Fly2-1,CS76863,13.3712,55.7509,Sweden,89.25,6653
FT16,6024,Fly2-2,CS76864,13.3712,55.7509,Sweden,116.0,6654
FT16,6030,Grön-5,CS76893,18.1896,62.806,Sweden,129.0,6656
FT16,6034,Hov1-7,CS76932,13.74,56.1,Sweden,80.5,6657
FT16,6035,Hov1-10,CS76931,13.74,56.1,Sweden,73.75,6658
FT16,6036,Hov3-2,CS76934,13.74,56.1,Sweden,86.33333333,6659
FT16,6038,Hov3-5,CS76935,13.74,56.1,Sweden,77.25,6660
FT16,6039,Hovdala-2,CS76937,13.74,56.1,Sweden,62.0,6661
FT16,6040,Kni-1,CS76970,13.4,55.66,Sweden,82.5,6662
FT16,6041,Lis-3,CS77044,14.775,56.0328,Sweden,51.5,6663
FT16,6042,Lom1-1,CS77048,13.9,56.09,Sweden,43.0,6664
FT16,6043,Löv-1,CS77049,18.079,62.801,Sweden,130.6666667,6665
FT16,6046,Löv-5,CS77050,18.079,62.801,Sweden,117.0,6666
FT16,6064,Nyl-2,CS77136,18.2763,62.9513,Sweden,129.5,6667
FT16,6069,Nyl-7,CS77137,18.2763,62.9513,Sweden,139.0,6668
FT16,6070,Omn-1,CS77145,18.3448,62.9308,Sweden,119.3333333,6669
FT16,6071,Omn-5,CS77146,18.3448,62.9308,Sweden,139.5,6670
FT16,6073,ÖMö1-7,CS77147,15.8155,56.1481,Sweden,96.5,6671
FT16,6074,Ör-1,CS77150,16.1308,56.4573,Sweden,85.75,6672
FT16,6076,Rev-2,CS77215,13.4504,55.6942,Sweden,110.5,6673
FT16,6085,Sparta-1,CS77260,13.2145,55.7097,Sweden,128.0,6674
FT16,6086,Sr:3,CS77267,11.2,58.9,Sweden,100.75,6675
FT16,6088,Stu1-1,CS77285,16.1284,56.4666,Sweden,128.0,6676
FT16,6090,T1000,CS77288,13.2197,55.6525,Sweden,105.0,6677
FT16,6092,T1020,CS77289,13.2233,55.6514,Sweden,89.5,6678
FT16,6094,T1040,CS77290,13.2147,55.6494,Sweden,92.66666667,6679
FT16,6097,T1070,CS77291,13.2264,55.6481,Sweden,94.0,6680
FT16,6098,T1080,CS77292,13.2178,55.6561,Sweden,105.0,6681
FT16,6099,T1090,CS77293,13.2386,55.6575,Sweden,113.6666667,6682
FT16,6100,T1110,CS77294,13.2,55.6,Sweden,108.3333333,6683
FT16,6102,T1130,CS77295,13.2,55.6,Sweden,103.5,6684
FT16,6104,T1160,CS77296,13.2,55.7,Sweden,109.5,6685
FT16,6105,T450,CS77297,13.1211,55.7967,Sweden,87.66666667,6686
FT16,6106,T460,CS77298,13.1186,55.7931,Sweden,94.75,6687
FT16,6107,T470,CS77299,13.1222,55.7942,Sweden,105.25,6688
FT16,6108,T480,CS77300,13.1206,55.7989,Sweden,52.75,6689
FT16,6109,T510,CS77301,13.1233,55.7936,Sweden,99.0,6690
FT16,6111,T530,CS77302,13.1219,55.7989,Sweden,93.66666667,6691
FT16,6112,T540,CS77303,13.1044,55.7967,Sweden,76.75,6692
FT16,6114,T570,CS77305,13.1342,55.8097,Sweden,92.0,6694
FT16,6115,T580,CS77306,13.1367,55.8,Sweden,74.75,6695
FT16,6118,T610,CS77307,13.2,55.7,Sweden,99.25,6696
FT16,6122,T670,CS77308,13.3075,55.8364,Sweden,90.0,6697
FT16,6124,T690,CS77309,13.3092,55.8378,Sweden,106.0,6698
FT16,6125,T710,CS77310,13.3106,55.8403,Sweden,100.0,6699
FT16,6126,T720,CS77311,13.3047,55.8411,Sweden,89.0,6700
FT16,6127,T730,,13.3058,55.8428,Sweden,132.6666667,6701
FT16,6128,T740,CS77313,13.2881,55.8397,Sweden,113.0,6702
FT16,6129,T750,,13.2875,55.8544,Sweden,131.0,6703
FT16,6131,T780,CS77315,13.3181,55.8369,Sweden,137.0,6704
FT16,6132,T790,CS77316,13.3186,55.8386,Sweden,102.5,6705
FT16,6133,T800,CS77317,13.2906,55.8364,Sweden,91.75,6706
FT16,6134,T810,CS77318,13.2906,55.8383,Sweden,100.3333333,6707
FT16,6136,T840,CS77319,13.5519,55.9336,Sweden,84.5,6708
FT16,6137,T850,CS77320,13.5603,55.9419,Sweden,87.75,6709
FT16,6138,T860,CS77321,13.5511,55.9403,Sweden,90.75,6710
FT16,6140,T880,CS77322,13.5539,55.9392,Sweden,103.25,6711
FT16,6142,T900,CS77323,13.5558,55.9428,Sweden,107.5,6712
FT16,6145,T930,CS77324,13.5533,55.9497,Sweden,111.5,6713
FT16,6148,T960,CS77325,13.5508,55.9319,Sweden,105.6666667,6714
FT16,6149,T970,CS77326,13.5481,55.9281,Sweden,99.0,6715
FT16,6150,T980,CS77327,13.5319,55.9261,Sweden,101.6666667,6716
FT16,6151,T990,CS77328,13.2244,55.6528,Sweden,103.3333333,6717
FT16,6153,TAA 03,CS77329,17.7422,62.6425,Sweden,116.0,6718
FT16,6169,TÅD 01,CS77333,18.3447,62.8714,Sweden,113.5,6722
FT16,6171,TÅD 03,,18.3444,62.8717,Sweden,108.0,6723
FT16,6172,TÅD 04,CS77335,18.3436,62.8717,Sweden,114.0,6724
FT16,6173,TÅD 05,CS77336,18.3419,62.8717,Sweden,101.0,6725
FT16,6174,TÅD 06,CS77337,18.3422,62.8719,Sweden,128.0,6726
FT16,6177,TÄL 03,CS77338,17.69,62.6322,Sweden,105.5,6727
FT16,6180,TÄL 07,CS77339,17.6906,62.6322,Sweden,41.25,6728
FT16,6184,TBÖ 01,CS77343,18.4522,62.8892,Sweden,103.6666667,6729
FT16,6188,TDr-1,CS77345,14.1386,55.7683,Sweden,53.5,6730
FT16,6189,TDr-2,CS77351,14.1383,55.7686,Sweden,56.66666667,6731
FT16,6191,TDr-4,CS77352,14.1375,55.7689,Sweden,58.5,6732
FT16,6192,TDr-5,CS77353,14.1369,55.7692,Sweden,63.0,6733
FT16,6193,TDr-7,CS77354,14.1347,55.7694,Sweden,54.5,6734
FT16,6194,TDr-8,CS77355,14.1342,55.7706,Sweden,91.5,6735
FT16,6195,TDr-9,CS77356,14.1342,55.7708,Sweden,59.0,6736
FT16,6197,TDr-11,,14.1333,55.7714,Sweden,59.0,6737
FT16,6198,TDr-13,CS77347,14.1331,55.7708,Sweden,92.5,6738
FT16,6201,TDr-16,CS77348,14.1211,55.7719,Sweden,103.0,6739
FT16,6202,TDr-17,CS77349,14.1206,55.7717,Sweden,128.0,6740
FT16,6203,TDr-18,CS77350,14.1208,55.7714,Sweden,119.6666667,6741
FT16,6209,TEDEN 02,CS77358,18.1842,62.8836,Sweden,107.0,6742
FT16,6210,TEDEN 03,CS77359,18.1836,62.8839,Sweden,125.0,6743
FT16,6217,TFÄ 07,CS77363,18.3283,63.0169,Sweden,127.0,6745
FT16,6218,TFÄ 08,CS77364,18.3283,63.0172,Sweden,137.0,6746
FT16,6220,TGR 01,CS77365,18.1896,62.806,Sweden,117.3333333,6747
FT16,6221,TGR 02,CS77366,18.1896,62.806,Sweden,110.0,6748
FT16,6237,TOM 03,CS77373,18.35,62.9619,Sweden,109.0,6751
FT16,6238,TOM 04,CS77374,18.35,62.9619,Sweden,124.0,6752
FT16,6240,TOM 06,CS77375,18.35,62.9622,Sweden,125.6666667,6753
FT16,6241,TOM 07,CS77376,18.3608,62.9614,Sweden,117.5,6754
FT16,6242,Tomegap-2,CS77377,13.2,55.7,Sweden,86.5,6755
FT16,6243,Tottarp-2,CS77381,13.90045,56.27373,Sweden,43.75,6756
FT16,6244,TRÄ 01,CS77384,18.4728,62.9169,Sweden,108.25,6757
FT16,6258,TV-10,CS78767,14.3336,55.5796,Sweden,126.6666667,6760
FT16,6268,TV-22,CS78768,14.3336,55.5796,Sweden,128.6666667,6761
FT16,6276,TV-30,CS78769,14.3336,55.5796,Sweden,143.0,6762
FT16,6284,TV-38,CS78770,14.3336,55.5796,Sweden,131.5,6763
FT16,6288,Udu-12,,16.6314,49.2771,Czech Republic,98.0,6764
FT16,6296,UduI 1-11,CS78774,16.6314,49.2771,Czech Republic,47.0,6765
FT16,630,LI-OF-065,CS77036,-72.9069,40.7777,US,58.75,6766
FT16,6390,UduI 3-36,CS78775,16.6314,49.2771,Czech Republic,61.33333333,6767
FT16,6396,UduI 4-9,CS78776,16.6314,49.2771,Czech Republic,70.75,6768
FT16,6413,Ull3-4,CS78819,13.97,56.06,Sweden,95.0,6769
FT16,6424,ZdrI 1-23,CS78875,16.2544,49.3853,Czech Republic,53.0,6770
FT16,6434,ZdrI 2-9,CS78877,16.2544,49.3853,Czech Republic,40.0,6771
FT16,6445,ZdrI 2-21,CS78876,16.2544,49.3853,Czech Republic,50.0,6772
FT16,6680,ANH-1,CS76437,6.4333,51.85,GER,92.33333333,6773
FT16,6709,Bg-2,,-122.305,47.6479,US,49.5,6774
FT16,6744,CSHL-5,CS76779,-73.4675,40.8585,US,47.25,6775
FT16,6830,Kz-13,CS76994,73.1,49.5,Kazakhstan,41.25,6776
FT16,6897,Ag-0,CS76430,1.3,45.0,France,66.25,6777
FT16,6898,An-1,CS76435,4.4,51.2167,Belgium,34.25,6778
FT16,6900,Bil-5,CS76709,18.484,63.324,Sweden,121.5,6779
FT16,6901,Bil-7,CS76710,18.484,63.324,Sweden,117.0,6780
FT16,6903,Bor-4,CS76454,16.2326,49.4013,Czech Republic,56.25,6781
FT16,6904,Br-0,CS76455,16.6166,49.2,Czech Republic,65.33333333,6782
FT16,6907,CIBC-17,CS76770,-0.6383,51.4083,UK,60.25,6784
FT16,6908,CIBC-5,CS78894,-0.6383,51.4083,UK,59.0,6785
FT16,6909,Col-0,CS76778,-92.3,38.3,US,38.0,6786
FT16,6911,Cvi-0,CS76789,-23.6167,15.1111,Cape Verde,47.25,6787
FT16,6915,Ei-2,CS76478,6.3,50.3,GER,56.75,6789
FT16,6916,Est-1,,25.3,58.3,Russia,45.66666667,6790
FT16,6919,Ga-0,CS76490,8.0,50.3,GER,94.0,6793
FT16,6920,Got-22,CS76884,9.9355,51.5338,GER,93.75,6794
FT16,6921,Got-7,,9.9355,51.5338,GER,79.5,6795
FT16,6922,Gu-0,CS76498,8.0,50.3,GER,44.5,6796
FT16,6923,HR-10,CS76940,-0.6383,51.4083,UK,41.5,6797
FT16,6924,HR-5,CS76514,-0.6383,51.4083,UK,47.0,6798
FT16,6926,Kin-0,CS76527,-85.37,44.46,US,45.75,6799
FT16,6927,KNO-10,CS76973,-86.621,41.2816,US,63.0,6800
FT16,6928,KNO-18,,-86.621,41.2816,US,63.66666667,6801
FT16,6929,Kondara,CS76532,68.49,38.48,Tajikistan,61.75,6802
FT16,6931,Kz-9,CS76537,73.1,49.5,Kazakhstan,48.5,6803
FT16,6932,Ler-1,CS77021,10.8719,47.984,GER,40.33333333,6804
FT16,6933,LL-0,CS77047,2.49,41.59,Spain,54.5,6805
FT16,6936,Lz-0,,3.3,46.0,France,56.5,6806
FT16,6937,Mrk-0,,9.3,49.0,GER,57.25,6807
FT16,6938,Ms-0,CS76555,37.6322,55.7522,Russia,70.75,6808
FT16,6939,Mt-0,,22.46,32.34,LIB,44.0,6809
FT16,6940,Mz-0,CS76557,8.3,50.3,GER,39.25,6810
FT16,6943,NFA-10,CS77126,-0.6383,51.4083,UK,42.5,6811
FT16,6944,NFA-8,CS78913,-0.6383,51.4083,UK,44.5,6812
FT16,6945,Nok-3,CS76562,4.45,52.24,NED,56.0,6813
FT16,6951,Pu2-23,CS76579,16.36,49.42,Czech Republic,59.0,6814
FT16,6956,Pu2-7,CS76580,16.36,49.42,Czech Republic,72.5,6815
FT16,6957,Pu2-8,CS77192,16.36,49.42,Czech Republic,84.66666667,6816
FT16,6958,Ra-0,CS76582,3.3,46.0,France,41.66666667,6817
FT16,6959,Rennes-1,CS77210,-1.41,48.5,France,53.25,6818
FT16,6960,Rennes-11,CS77211,-1.41,48.5,France,39.75,6819
FT16,6961,Se-0,CS76597,-3.53333,38.3333,Spain,50.33333333,6820
FT16,6963,Sorbo,CS78917,68.48,38.35,Tajikistan,64.25,6821
FT16,6964,Spr1-2,,16.03529,56.31635,Sweden,103.3333333,6822
FT16,6965,Spr1-6,,16.03529,56.31635,Sweden,113.3333333,6823
FT16,6966,Sq-1,CS77266,-0.6383,51.4083,UK,55.125,6824
FT16,6967,Sq-8,CS76604,-0.6383,51.4083,UK,42.0,6825
FT16,6968,Tamm-2,CS76610,23.5,60.0,Finland,91.33333333,6826
FT16,6969,Tamm-27,CS77341,23.5,60.0,Finland,96.0,6827
FT16,6970,Ts-1,CS76615,2.93056,41.7194,Spain,50.25,6828
FT16,6971,Ts-5,CS77388,2.93056,41.7194,Spain,63.66666667,6829
FT16,6973,Ull2-3,CS78817,13.9707,56.0648,Sweden,46.25,6831
FT16,6974,Ull2-5,CS78818,13.9707,56.0648,Sweden,125.25,6832
FT16,6975,Uod-1,CS76621,14.45,48.3,Austria,47.25,6833
FT16,6976,Uod-7,CS78823,14.45,48.3,Austria,69.5,6834
FT16,6979,Wei-0,CS76628,8.26,47.25,SUI,36.0,6835
FT16,6981,Ws-2,CS78920,30.0,52.3,Russia,43.0,6836
FT16,6982,Wt-5,CS76632,9.3,52.3,GER,44.0,6837
FT16,6984,Zdr-1,CS76635,16.2544,49.3853,Czech Republic,47.75,6838
FT16,6985,Zdr-6,,16.2544,49.3853,Czech Republic,53.0,6839
FT16,6986,Abd-0,CS76429,-2.2207,57.1539,UK,43.75,6840
FT16,6987,Ak-1,CS76431,7.62551,48.0683,GER,47.75,6841
FT16,6989,Alst-1,CS76432,-2.4333,54.8,UK,61.0,6842
FT16,6990,Amel-1,CS76434,5.73,53.448,NED,60.25,6843
FT16,6992,Ang-0,CS76436,5.3,50.3,Belgium,54.25,6844
FT16,6994,Ann-1,,6.13028,45.9,France,80.0,6845
FT16,6997,Appt-1,CS76440,5.5833,51.8333,NED,56.0,6846
FT16,7000,Aa-0,CS76428,9.57073,50.9167,GER,54.0,6847
FT16,7002,Baa-1,CS76442,6.1,51.3333,NED,59.0,6848
FT16,7003,Bs-1,CS78888,7.5,47.5,SUI,51.0,6849
FT16,7008,Benk-1,CS76447,5.675,52.0,NED,95.0,6850
FT16,7010,Be-0,,8.6161,49.6803,GER,54.25,6851
FT16,7013,Bd-0,CS76445,13.287,52.4584,GER,38.75,6852
FT16,7014,Ba-1,CS76441,-4.79821,56.5459,UK,74.0,6853
FT16,7025,Bl-1,CS76450,11.3396,44.5041,Italy,52.66666667,6854
FT16,7026,Boot-1,CS76452,-3.2667,54.4,UK,45.5,6855
FT16,7028,Bch-1,CS76444,9.3166,49.5166,GER,40.25,6856
FT16,7031,Bsch-0,CS76457,8.6667,50.0167,GER,47.25,6857
FT16,7033,Buckhorn Pass,CS76733,-122.755,41.3599,US,76.0,6858
FT16,7036,Bu-0,CS78889,9.5,50.5,GER,50.5,6859
FT16,7058,Bur-0,CS76734,-6.2,54.1,Ireland,66.0,6860
FT16,7061,Cal-0,CS76460,-1.64293,53.2699,UK,64.0,6861
FT16,7062,Ca-0,CS76459,8.26607,50.2981,GER,38.25,6862
FT16,7063,Can-0,CS76740,-13.4811,29.2144,Spain,51.0,6863
FT16,7064,Cnt-1,CS76467,1.1,51.3,UK,66.66666667,6864
FT16,7067,Ct-1,CS76786,15.0,37.3,Italy,42.25,6865
FT16,7068,Cerv-1,CS76462,12.1,42.0,Italy,56.0,6866
FT16,7071,Chat-1,CS76463,1.33867,48.0717,France,45.0,6867
FT16,7072,Chi-0,CS76464,34.7361,53.7502,Russia,62.0,6868
FT16,7077,Co-1,CS76468,-8.25,40.12,POR,44.33333333,6870
FT16,7081,Co,CS78895,-8.42639,40.2077,POR,42.5,6871
FT16,7092,Com-1,CS76469,2.823,49.416,France,54.25,6872
FT16,7094,Da-0,CS76791,8.65081,49.8724,GER,43.25,6873
FT16,7096,Di-G,CS76472,5.04278,47.3239,France,40.25,6874
FT16,7098,Di-1,,5.0,47.0,France,45.5,6875
FT16,7102,Do-0,CS76474,8.2372,50.7224,GER,71.0,6876
FT16,7103,Dra-0,CS76476,16.2667,49.4167,Czech Republic,36.75,6877
FT16,7106,Dr-0,CS78897,13.7336,51.051,GER,44.5,6878
FT16,7107,Durh-1,CS76477,-1.5733,54.7761,UK,50.75,6879
FT16,7109,Ema-1,CS76480,0.5,51.3,UK,45.75,6880
FT16,7117,El-0,CS76479,9.68253,51.5105,GER,36.5,6882
FT16,7119,En-2,CS76481,8.5,50.0,GER,41.0,6883
FT16,7120,En-D,CS76482,8.5,50.0,GER,42.75,6884
FT16,7123,Ep-0,,8.38912,50.1721,GER,41.0,6885
FT16,7125,Er-0,CS78898,11.0087,49.5955,GER,42.75,6886
FT16,7126,Es-0,CS76484,24.5682,60.1997,Finland,97.25,6887
FT16,7127,Est,CS76485,24.9871,58.6656,Estonia,45.5,6888
FT16,7130,Et-0,CS76486,2.56481,44.6447,France,78.25,6889
FT16,7133,Fr-2,CS76489,8.6822,50.1102,GER,46.25,6890
FT16,7138,Fi-0,CS76488,8.0167,50.5,GER,68.5,6891
FT16,7143,Gel-1,CS76492,5.86667,51.0167,NED,44.5,6892
FT16,7147,Gie-0,CS76493,8.67825,50.584,GER,52.66666667,6893
FT16,7148,Gifu-2,,137.42,35.45,Japan,66.0,6894
FT16,7158,Gr-5,CS76885,15.5,47.0,Austria,47.75,6895
FT16,7160,Gre-0,CS76497,-85.2532,43.178,US,66.5,6896
FT16,7161,Gd-1,CS76491,10.5,53.5,GER,39.33333333,6897
FT16,7162,Hs-0,CS76515,9.44,52.24,GER,42.75,6898
FT16,7163,Ha-0,CS76500,9.73569,52.3721,GER,44.0,6899
