trait_type	phenocode	description	pheno_sex	n_cases_full_cohort_both_sexes
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2321
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2866
categorical	20002	Non-cancer illness code, self-reported	both_sexes	346
categorical	20002	Non-cancer illness code, self-reported	both_sexes	232
categorical	20002	Non-cancer illness code, self-reported	both_sexes	5802
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1576
categorical	20002	Non-cancer illness code, self-reported	both_sexes	169
categorical	20002	Non-cancer illness code, self-reported	both_sexes	389
categorical	20002	Non-cancer illness code, self-reported	both_sexes	314
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3559
categorical	20002	Non-cancer illness code, self-reported	both_sexes	8682
categorical	20002	Non-cancer illness code, self-reported	both_sexes	51263
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1506
categorical	20002	Non-cancer illness code, self-reported	both_sexes	5911
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1000
categorical	20002	Non-cancer illness code, self-reported	both_sexes	138
categorical	20002	Non-cancer illness code, self-reported	both_sexes	719
categorical	20002	Non-cancer illness code, self-reported	both_sexes	175
categorical	20002	Non-cancer illness code, self-reported	both_sexes	107
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1372
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1426
categorical	20002	Non-cancer illness code, self-reported	both_sexes	998
categorical	20002	Non-cancer illness code, self-reported	both_sexes	258
categorical	20002	Non-cancer illness code, self-reported	both_sexes	907
categorical	20002	Non-cancer illness code, self-reported	both_sexes	722
categorical	20002	Non-cancer illness code, self-reported	both_sexes	494
categorical	20002	Non-cancer illness code, self-reported	both_sexes	18680
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1311
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3069
categorical	20002	Non-cancer illness code, self-reported	both_sexes	640
categorical	20002	Non-cancer illness code, self-reported	both_sexes	10198
categorical	20002	Non-cancer illness code, self-reported	both_sexes	446
categorical	20002	Non-cancer illness code, self-reported	both_sexes	882
categorical	20002	Non-cancer illness code, self-reported	both_sexes	433
categorical	20002	Non-cancer illness code, self-reported	both_sexes	300
categorical	20002	Non-cancer illness code, self-reported	both_sexes	226
categorical	20002	Non-cancer illness code, self-reported	both_sexes	7157
categorical	20002	Non-cancer illness code, self-reported	both_sexes	420
categorical	20002	Non-cancer illness code, self-reported	both_sexes	915
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1425
categorical	20002	Non-cancer illness code, self-reported	both_sexes	147
categorical	20002	Non-cancer illness code, self-reported	both_sexes	189
categorical	20002	Non-cancer illness code, self-reported	both_sexes	206
categorical	20002	Non-cancer illness code, self-reported	both_sexes	321
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1960
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3304
categorical	20002	Non-cancer illness code, self-reported	both_sexes	283
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2542
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1479
categorical	20002	Non-cancer illness code, self-reported	both_sexes	18857
categorical	20002	Non-cancer illness code, self-reported	both_sexes	363
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2933
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1082
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3331
categorical	20002	Non-cancer illness code, self-reported	both_sexes	21241
categorical	20002	Non-cancer illness code, self-reported	both_sexes	141
categorical	20002	Non-cancer illness code, self-reported	both_sexes	103
categorical	20002	Non-cancer illness code, self-reported	both_sexes	163
categorical	20002	Non-cancer illness code, self-reported	both_sexes	274
categorical	20002	Non-cancer illness code, self-reported	both_sexes	108
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3318
categorical	20002	Non-cancer illness code, self-reported	both_sexes	398
categorical	20002	Non-cancer illness code, self-reported	both_sexes	272
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1761
