phenocode	phenotype	category	num_cases	num_controls
J10_SINUSITIS	Acute sinusitis	X Diseases of the respiratory system (J10_)	28616	402652
J10_TONSILLECTOMY	Tonsillectomy and adenotomy	X Diseases of the respiratory system (J10_)	39135	461213
J10_TONSILLITIS	Other and unspecified tonsillitis	X Diseases of the respiratory system (J10_)	18652	402652
J10_UPPERDIS	Other diseases of upper respiratory tract	X Diseases of the respiratory system (J10_)	128828	371520
J10_UPPERINFEC	Acute upper respiratory infections	X Diseases of the respiratory system (J10_)	97696	402652
J10_VIRALPNEUMO	Viral pneumonia	X Diseases of the respiratory system (J10_)	5181	415538
J10_VOCALLARYNX	Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no	X Diseases of the respiratory system (J10_)	26923	371520
JOINTPAIN	Pain in joint	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	39344	262404
JUVEN_ARTHR	Juvenile arthritis (FINNGEN)	Rheuma endpoints	1994	374317
K11_ABRASION	Abrasion of teeth	XI Diseases of the digestive system (K11_)	12733	114335
K11_ABSCANAL	Abscess of anal and rectal regions	XI Diseases of the digestive system (K11_)	3566	394725
K11_ACHAL	Achalasia of cardia	XI Diseases of the digestive system (K11_)	646	423785
K11_ACUTGASTR	Acute gastritis	XI Diseases of the digestive system (K11_)	3080	423785
K11_ACUTPANC	Acute pancreatitis	XI Diseases of the digestive system (K11_)	8446	437418
K11_ADHE	Intestinal adhesions without obstruction	XI Diseases of the digestive system (K11_)	3213	394725
K11_ALCGASTR	Alcoholic gastritis	XI Diseases of the digestive system (K11_)	540	423785
K11_ALCOLIV	Alcoholic liver disease	XI Diseases of the digestive system (K11_)	3769	485213
K11_ANOMALI_DENTAL_ARCH_RELATIONS1	Anomalies of dental arch relationship, including avohilmo	XI Diseases of the digestive system (K11_)	10708	489640
K11_APHTA_RECUR	Recurring oral aphthae	XI Diseases of the digestive system (K11_)	1658	498690
K11_APHTA_RECUR_INCLAVO	Recurring oral aphthae, including avohilmo	XI Diseases of the digestive system (K11_)	5394	494954
K11_APPENDACUT	Acute appendicitis	XI Diseases of the digestive system (K11_)	38933	458424
K11_APPENDECTOMY	Appendectomy	XI Diseases of the digestive system (K11_)	35484	464864
K11_APPENDOTH	Other appendicitis	XI Diseases of the digestive system (K11_)	3450	458424
K11_ASYMMETRY_JAW	Asymmetry of jaw	XI Diseases of the digestive system (K11_)	558	499790
K11_ATTRITION	Excessive attrition of teeth	XI Diseases of the digestive system (K11_)	22758	114335
K11_BARRET	Barrett oesophagus	XI Diseases of the digestive system (K11_)	1684	423785
K11_BILIAOTH	Other diseases of biliary tract	XI Diseases of the digestive system (K11_)	3236	437418
K11_CD_STRICT2	Crohn disease (strict definition, require KELA, min 2 HDR)	XI Diseases of the digestive system (K11_)	2489	497622
K11_CD_STRICT_PSC	Crohn's disease (strict) with PSC	Gastrointestinal endpoints	61	483193
K11_CHOLANGI	Cholangitis (primary sclerosing, PSC)	XI Diseases of the digestive system (K11_)	2317	437418
K11_CHOLANGI_STRICT	Cholangitis (primary sclerosing, PSC), with reimbursement 202	Gastrointestinal endpoints	653	470875
K11_CHOLECYST	Cholecystitis	XI Diseases of the digestive system (K11_)	5851	437418
K11_CHOLECYSTECTOMY	Cholecystectomy	XI Diseases of the digestive system (K11_)	36556	463792
K11_CHOLELITH	Cholelithiasis	XI Diseases of the digestive system (K11_)	49834	437418
K11_CHRONGASTR	Chronic gastritis	XI Diseases of the digestive system (K11_)	12441	423785
K11_CHRONHEP	Chronic hepatitis, not elsewhere classified	XI Diseases of the digestive system (K11_)	1215	485213
K11_CHRONPANC	Chronic pancreatitis	XI Diseases of the digestive system (K11_)	4820	437418
K11_COELIAC	Coeliac disease	XI Diseases of the digestive system (K11_)	5130	478189
K11_CONSTIPATION	Constipation	XI Diseases of the digestive system (K11_)	51956	448392
K11_CROSSBITE	Crossbite	XI Diseases of the digestive system (K11_)	2790	497558
K11_CROWDI_TEETH	Crowding of teeth, including avohilmo	XI Diseases of the digestive system (K11_)	4491	495857
K11_DEEP_BITE	Deep bite	XI Diseases of the digestive system (K11_)	4863	495485
K11_DEEP_BITE_SURGERY	Deep bite that required surgery	XI Diseases of the digestive system (K11_)	443	499905
K11_DENTOFACIAL_ANOMALIES	Dentofacial anomalies [including malocclusion]	XI Diseases of the digestive system (K11_)	13829	310260
K11_DEPOSITS	Deposits [accretions] on teeth	XI Diseases of the digestive system (K11_)	2767	310260
K11_DIAHER	Diaphragmatic hernia	XI Diseases of the digestive system (K11_)	16034	426666
K11_DISLIVOTH	Other diseases of liver	XI Diseases of the digestive system (K11_)	7266	485213
K11_DISOESINOTH	Disorders of oesophagus in diseases classified elsewhere	XI Diseases of the digestive system (K11_)	691	423785
K11_DISORD_TEETH	Other disorders of teeth and supporting structures	XI Diseases of the digestive system (K11_)	9515	310260
K11_DISTAL_BITE	Distal bite	XI Diseases of the digestive system (K11_)	1446	498902
K11_DIVERTIC	Diverticular disease of intestine	XI Diseases of the digestive system (K11_)	43138	394725
K11_DULC	Duodenal ulcer	XI Diseases of the digestive system (K11_)	4590	423785
K11_EMBED_TEETH	Embedded teeth, including avohilmo	XI Diseases of the digestive system (K11_)	4006	496342
K11_EMBIMPACT_TEETH	Embedded and impacted teeth	XI Diseases of the digestive system (K11_)	13286	487062
K11_ENERCOLNONINF	Noninfective enteritis and colitis	XI Diseases of the digestive system (K11_)	23771	476577
K11_EROSION	Erosion of teeth	XI Diseases of the digestive system (K11_)	577	114335
K11_EROSION_INCLAVO	Erosion of teeth, including avohilmo	XI Diseases of the digestive system (K11_)	9162	112365
K11_ERUPTION	Tooth eruption problems	XI Diseases of the digestive system (K11_)	6494	493854
K11_FEMHER	Femoral hernia	XI Diseases of the digestive system (K11_)	1660	426666
K11_FIBROCHIRLIV	Fibrosis and cirrhosis of liver	XI Diseases of the digestive system (K11_)	2653	485213
K11_FISTULA	Colonic or urogenital fistula	XI Diseases of the digestive system (K11_)	12025	488323
K11_FUNCDYSP	Functional dyspepsia	XI Diseases of the digestive system (K11_)	12179	423785
K11_GALLBLAOTH	Other diseases of gallbladder	XI Diseases of the digestive system (K11_)	1655	437418
K11_GASTRODUOULC	Gastroduodenal ulcer	XI Diseases of the digestive system (K11_)	12074	423785
K11_GINGIV_HYPERPLAS	Gingival hyperplasia	XI Diseases of the digestive system (K11_)	1176	310260
K11_GJULC	Gastrojejunal ulcer	XI Diseases of the digestive system (K11_)	443	423785
K11_GULC	Gastric ulcer	XI Diseases of the digestive system (K11_)	7787	423785
K11_HAEMORR	Haemorrhoids and perianal venous thrombosis	XI Diseases of the digestive system (K11_)	13841	394725
K11_HEPFAIL	Hepatic failure, not elsewhere classified	XI Diseases of the digestive system (K11_)	1272	485213
K11_HERING	Inguinal hernia	XI Diseases of the digestive system (K11_)	43066	426666
K11_HERNIA	Hernia	XI Diseases of the digestive system (K11_)	73682	426666
K11_HYPERTROPHY_TONGUE_PAPILLAE	Hypertrophy of tongue papillae	XI Diseases of the digestive system (K11_)	423	499925
K11_HYPOPLASIA_ENAMEL	Hypoplasia of dental enamel, including avohilmo	XI Diseases of the digestive system (K11_)	267	499258
K11_HYPOPLASIA_ENAMEL_INCLAVO	Hypoplasia of dental enamel , including avohilmo	XI Diseases of the digestive system (K11_)	1001	499347
K11_HYPOPLASIA_ENAMEL_PRENATAL	Hypoplasia of dental enamel, prenatal	XI Diseases of the digestive system (K11_)	60	499258
K11_HYPOPLASIA_ENAMEL_PRENATAL_INCLAVO	Hypoplasia of dental enamel, prenatal , including avohilmo	XI Diseases of the digestive system (K11_)	149	500199
K11_HYPO_ONLY	Tooth agenesis EXCLUDE clefts and syndromes	XI Diseases of the digestive system (K11_)	1510	497639
K11_IBD_STRICT	Inflammatory bowel disease, strict (require KELA)	XI Diseases of the digestive system (K11_)	10960	489388
K11_IBD_STRICT_PSC	IBD (strict) with PSC	Gastrointestinal endpoints	357	483193
K11_IBS	Irritable bowel syndrome	XI Diseases of the digestive system (K11_)	13268	394725
K11_ILEUS	Paralytic ileus and intestinal obstruction	XI Diseases of the digestive system (K11_)	11750	394725
K11_IMPACT	Impaction of intestines	XI Diseases of the digestive system (K11_)	243	394725
K11_IMPACTED_TEETH	Impacted teeth	XI Diseases of the digestive system (K11_)	9055	491293
K11_INTESTOTH	Other diseases of intestines	XI Diseases of the digestive system (K11_)	105623	394725
K11_INTUSS	Intussusception	XI Diseases of the digestive system (K11_)	777	394725
K11_JAWS	Other diseases of jaws	XI Diseases of the digestive system (K11_)	2779	310260
K11_LICHEN_PLANUS_WIDE	Lichen ruber planus, wide definition including periferal and oral lichen planus	XI Diseases of the digestive system (K11_)	8507	491841
K11_LIP_ORAL_MUCOSA	Other diseases of lip and oral mucosa	XI Diseases of the digestive system (K11_)	6831	310260
K11_LIVDISINOTH	Liver disorders in diseases classified elsewhere	XI Diseases of the digestive system (K11_)	100	485213
K11_LIVER	Diseases of liver	XI Diseases of the digestive system (K11_)	15135	485213
K11_MAJOR_ANOMALI_JAW_SIZE	Major anomalies of jaw size	XI Diseases of the digestive system (K11_)	1008	499340
K11_MALABSORB	Intestinal malabsorption	XI Diseases of the digestive system (K11_)	1688	478189
K11_MANDIBULAR_HYPOPL	Mandibular hypoplasia	XI Diseases of the digestive system (K11_)	228	500120
K11_MAXIL_CANINE_FAILED_ERUPT_OBSTRUCTION_TOOTH	Impacted maxillary canine	XI Diseases of the digestive system (K11_)	311	500037
K11_MAXIL_CANINE_PALAT	Palatinal maxillary canine	XI Diseases of the digestive system (K11_)	265	500083
K11_MAXIL_HYPOPL	Maxillary  hypoplasia	XI Diseases of the digestive system (K11_)	117	500231
K11_MAXIL_MOLAR_FAILED_ERUPT_OBSTRUCTION_TOOTH	Impacted maxillary molar	XI Diseases of the digestive system (K11_)	2335	498013
K11_MAXIL_PROGN	Maxillary prognathism	XI Diseases of the digestive system (K11_)	189	500159
K11_MESIAL_BITE	Mesial bite	XI Diseases of the digestive system (K11_)	346	500002
K11_MIH	Molar incisor enamel hypoplasia	XI Diseases of the digestive system (K11_)	1090	499258
K11_MIH_CARIES	Molar incisor enamel hypoplasia, with caries	XI Diseases of the digestive system (K11_)	240	488067
K11_MISS_TEETH_ACCID_EXTR_PAROD	Missing teeth due to accident, extraction or parodontitis	XI Diseases of the digestive system (K11_)	4597	310260
K11_MN_PROGN	Mandibular prognathia	XI Diseases of the digestive system (K11_)	553	499795
K11_MN_PROGN_AND_SURGRT	Mandibular prognathia AND surgery (LeFortI or BSSRO)	XI Diseases of the digestive system (K11_)	176	499983
K11_MN_PROGN_AND_SURGRT_INCLAVO	Mandibular prognathia AND surgery (LeFortI or BSSO or LeFortI AND BSSO), includi	XI Diseases of the digestive system (K11_)	365	499983
K11_MN_RETRGN	Mandibular retrognathia	XI Diseases of the digestive system (K11_)	2659	497689
K11_MN_RETRGN_AND_SURG	Mandibular retrognathia AND surgery (BSSRO)	XI Diseases of the digestive system (K11_)	961	499387
K11_OESITIS	Oesophagitis	XI Diseases of the digestive system (K11_)	2046	423785
K11_OESITIS_ADVERSE	Oesophagitis, drug-induced	XI Diseases of the digestive system (K11_)	79	500269
K11_OESOBST	Oesophageal obstruction	XI Diseases of the digestive system (K11_)	1279	423785
K11_OESSTODUO	Diseases of oesophagus, stomach and duodenum	XI Diseases of the digestive system (K11_)	76563	423785
K11_OESULC	Ulcer of oesophagus	XI Diseases of the digestive system (K11_)	2667	423785
K11_OESULC_ADVERSE	Ulcer of oesophagus, drug-induced	XI Diseases of the digestive system (K11_)	171	500177
K11_OPEN_BITE	Open bite	XI Diseases of the digestive system (K11_)	2021	498327
K11_OPEN_BITE_SURGERY	Open bite that required surgery (Lefort1 or BSSRO)	XI Diseases of the digestive system (K11_)	346	500002
K11_ORAL	Diseases of oral cavity, salivary glands and jaws	XI Diseases of the digestive system (K11_)	190088	310260
K11_ORALCYST	Cysts of oral region, not elsewhere classified	XI Diseases of the digestive system (K11_)	1713	310260
K11_ORAL_LEUCOPLACIA	Oral leukoplakia	XI Diseases of the digestive system (K11_)	596	499752
K11_ORAL_LEUCOPLACIA_INCLAVO	Oral leukoplakia, including avohilmo	XI Diseases of the digestive system (K11_)	930	499418
K11_ORAL_LEUCOPLAC_RELAT	Oral leukoplakia and related diseases	XI Diseases of the digestive system (K11_)	1972	498376
K11_ORAL_LEUCOPLAC_RELAT_INCLAVO	Oral leukoplakia and related diseases, including avohilmo	XI Diseases of the digestive system (K11_)	3257	497091
K11_ORAL_LICHEN_PLANUS	Oral lichen ruber planus	XI Diseases of the digestive system (K11_)	795	499553
K11_OTHABDHER	Other and unspecified abdominal hernia	XI Diseases of the digestive system (K11_)	1453	426666
K11_OTHANRECT	Other diseases of anus and rectum	XI Diseases of the digestive system (K11_)	13938	394725
K11_OTHAPPEND	Other diseases of appendix	XI Diseases of the digestive system (K11_)	410	458424
K11_OTHDIG	Diseases of the digestive system	XI Diseases of the digestive system (K11_)	22159	478189
K11_OTHDISDIG	Other diseases of the digestive system	XI Diseases of the digestive system (K11_)	14423	478189
K11_OTHDISOES	Other diseases of oesophagus	XI Diseases of the digestive system (K11_)	3907	423785
K11_OTHDISSTOMDUOD	Other diseases of stomach and duodenum	XI Diseases of the digestive system (K11_)	2427	423785
K11_OTHENTERCOL	Other noninfective gastroenteritis and colitis	XI Diseases of the digestive system (K11_)	11212	476577
K11_OTHFUNC	Other functional intestinal disorders	XI Diseases of the digestive system (K11_)	22972	394725
K11_OTHGASTR	Other gastritis (incl. Duodenitis)	XI Diseases of the digestive system (K11_)	10062	423785
K11_OTHILEUS	Other or unspecified ileus, impaction or obstruction	XI Diseases of the digestive system (K11_)	8037	394725
K11_OTHINFLIV	Other inflammatory liver diseases	XI Diseases of the digestive system (K11_)	2463	485213
K11_OTHINT	Other diseases of intestine	XI Diseases of the digestive system (K11_)	4877	394725
K11_OTHPERITON	Other diseases of peritoneum	XI Diseases of the digestive system (K11_)	1641	496343
K11_OVERJET	Overjet	XI Diseases of the digestive system (K11_)	875	499473
K11_PANCOTH	Other diseases of pancreas	XI Diseases of the digestive system (K11_)	2762	437418
K11_PARALIL	Paralytic ileus	XI Diseases of the digestive system (K11_)	1414	394725
K11_PERFOES	Perforation of oesophagus	XI Diseases of the digestive system (K11_)	165	423785
K11_PERITON	Diseases of peritoneum	XI Diseases of the digestive system (K11_)	4005	496343
K11_PERITONITIS	Acute peritonitis	XI Diseases of the digestive system (K11_)	2384	496343
K11_POSTOPDIS	Postprocedural disorders of digestive system, not elsewhere classified	XI Diseases of the digestive system (K11_)	1121	478189
K11_PSC_COLITIS_STRICT	Colitis, primary sclerosing, strict definition	XI Diseases of the digestive system (K11_)	384	498031
K11_PULC	Peptic ulcer	XI Diseases of the digestive system (K11_)	354	423785
K11_REFLUX	Gastro-oesophageal reflux disease	Interstitial lung disease endpoints	36025	423785
K11_REIMB_202	Reimbursement for rheumatic diseases	Gastrointestinal endpoints	29473	470875
K11_RESORPTION	Pathological resorption of teeth	XI Diseases of the digestive system (K11_)	1122	310260
K11_RETROG_MAXILLAE	Maxillary retrognathism	XI Diseases of the digestive system (K11_)	680	499668
K11_SALIVARY	Diseases of salivary glands	XI Diseases of the digestive system (K11_)	8757	310260
K11_SCISS_BITE	Scissor bite	XI Diseases of the digestive system (K11_)	1002	499346
K11_STOMATITIS	Stomatitis and related lesions	XI Diseases of the digestive system (K11_)	3437	310260
K11_SUPNUM_ONLY	Supernumerary teeth EXCLUDE clefts and syndromes	XI Diseases of the digestive system (K11_)	154	500194
K11_SUPNUM_ONLY_INCLAVO	Supernumerary teeth EXCLUDE clefts and syndromes, including avohilmo	XI Diseases of the digestive system (K11_)	349	499543
K11_TOXLIV	Toxic liver disease	XI Diseases of the digestive system (K11_)	520	485213
K11_UC_STRICT2	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	XI Diseases of the digestive system (K11_)	7220	492160
K11_UC_STRICT_PSC	Ulcerative colitis (strict) with PSC	Gastrointestinal endpoints	290	483193
K11_UMBHER	Umbilical hernia	XI Diseases of the digestive system (K11_)	11934	426666
K11_VASCINT	Vascular disorders of the intestines	XI Diseases of the digestive system (K11_)	2545	394725
K11_VENTHER	Ventral hernia	XI Diseases of the digestive system (K11_)	10405	426666
K11_VOLVU	Volvulus	XI Diseases of the digestive system (K11_)	962	394725
KELA_DIAB_INSUL_EXMORE	Diabetes, insulin treatment (Kela reimbursement) (more control exclusions)	Diabetes endpoints	77557	403479
KRA_PSY_ALCOH_EXMORE	Alcohol abuse, main dg (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	6683	362304
KRA_PSY_ANXIETY_EXMORE	Anxiety disorders (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	56552	362304
KRA_PSY_ANYMENTAL	Any mental disorder	Psychiatric endpoints from Katri Räikkönen	138044	362304
KRA_PSY_ANYMENTAL_SUICID_PREG_NERV_EXMORE	Any mental disorder, or suicide (or attempt), or psychic disorders complicating 	Psychiatric endpoints from Katri Räikkönen	14265	361333
KRA_PSY_AUTISM_EXMORE	Autism spe (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	888	362304
KRA_PSY_BEHAV_EXMORE	Behavioural disorders (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	809	362304
KRA_PSY_CHILDEMOT_EXMORE	Emotional disorders starting during childhood or adolescence (more control exclu	Psychiatric endpoints from Katri Räikkönen	2068	362304
KRA_PSY_CHILDOTH_EXMORE	Other disorders starting during childhood or adolescence (more control exclusion	Psychiatric endpoints from Katri Räikkönen	2097	362304
KRA_PSY_CHILDSOC_EXMORE	Social disorders starting during childhood or adolescence (more control exclusio	Psychiatric endpoints from Katri Räikkönen	285	362304
KRA_PSY_CODUCTEMOT_EXMORE	Mixed disorders of conduct and emotions (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	933	362304
KRA_PSY_DEMENTIA_EXMORE	Any dementia (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	21157	362304
KRA_PSY_DEVWIDE_EXMORE	Wide developmental disorders (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	1179	362304
KRA_PSY_EATING_EXMORE	Eating disorder (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	3923	362304
KRA_PSY_HYPERKIN_EXMORE	Hyperkinetic disorders (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	4737	362304
KRA_PSY_MENTALRET_EXMORE	Mental retardation (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	1429	362234
KRA_PSY_MOTOR_EXMORE	Motor disorders (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	566	362304
KRA_PSY_PERSON_EXMORE	Personality disorders (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	13045	362300
KRA_PSY_PUERPER_EXMORE	Mental and behavioural disorders of puerperium, not classified elsewhere (more c	Psychiatric endpoints from Katri Räikkönen	401	201649
KRA_PSY_SCHIZODEL_EXMORE	Schizophrenia or delusion (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	15498	362304
KRA_PSY_SLEEP_NONORG_EXMORE	Nonorganic sleeping disorders (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	8336	362304
KRA_PSY_SPEELING_EXMORE	Speech and linguistic disorders (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	3752	362304
KRA_PSY_SUBSTANCE_EXMORE	Substance abuse (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	30806	362304
KRA_PSY_TIC	Tic and related disorders	Psychiatric endpoints from Katri Räikkönen	478	499870
KRA_PSY_TIC_EXMORE	Tic and related disorders (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	478	362304
L12_ABSCESS_CUT	Cutaneous abscess, furuncle and carbuncle	XII Diseases of the skin and subcutaneous tissue (L12_)	11581	470507
L12_ACANTHNIGRICANS	Acanthosis nigricans	XII Diseases of the skin and subcutaneous tissue (L12_)	114	465673
L12_ACANTHOLYTIC	Other acantholytic disorders	XII Diseases of the skin and subcutaneous tissue (L12_)	83	498266
L12_ACNE	Acne	XII Diseases of the skin and subcutaneous tissue (L12_)	4617	476404
L12_ACNEKELOID	Acne keloid	XII Diseases of the skin and subcutaneous tissue (L12_)	56	476404
L12_ACNE_CONGLOBLATA	Acne conglobata	XII Diseases of the skin and subcutaneous tissue (L12_)	196	476404
L12_ACNE_NAS	Other  and unspecified acne	XII Diseases of the skin and subcutaneous tissue (L12_)	507	476404
L12_ACNE_VARIOLIFORMIS	Acne varioliformis	XII Diseases of the skin and subcutaneous tissue (L12_)	87	476404
L12_ACQKERAT	Acquired keratosis [keratoderma] palmaris et plantaris	XII Diseases of the skin and subcutaneous tissue (L12_)	148	465673
L12_ACRODERMATITIS	Acrodermatitis chronica atrophicans	XII Diseases of the skin and subcutaneous tissue (L12_)	50	465673
L12_ACTINKERA	Actinic keratosis	XII Diseases of the skin and subcutaneous tissue (L12_)	15597	482972
L12_ALLERGICCONTACT	Allergic contact dermatitis	XII Diseases of the skin and subcutaneous tissue (L12_)	5926	432874
L12_ALOPECANDRO	Androgenic alopecia	XII Diseases of the skin and subcutaneous tissue (L12_)	281	267178
L12_ALOPECAREATA	Alopecia areata	XII Diseases of the skin and subcutaneous tissue (L12_)	956	476404
L12_APOCRINESWEAT	Apocrine sweat disorders, other sweat gland disorders	XII Diseases of the skin and subcutaneous tissue (L12_)	146	476404
L12_ATOPIC	Atopic dermatitis	XII Diseases of the skin and subcutaneous tissue (L12_)	31245	432874
L12_ATROPHICSKIN	Atrophic disorders of skin	XII Diseases of the skin and subcutaneous tissue (L12_)	5786	465673
L12_ATROPHICSKINNAS	Other and unspecified atrophic disorders of skin	XII Diseases of the skin and subcutaneous tissue (L12_)	153	465673
L12_BULLOTH	Other bullous disorders	XII Diseases of the skin and subcutaneous tissue (L12_)	967	498266
L12_BULLOUS	Bullous disorders	XII Diseases of the skin and subcutaneous tissue (L12_)	2082	498266
L12_CALCINOSISCUTIS	Calcinosis cutis	XII Diseases of the skin and subcutaneous tissue (L12_)	57	465673
L12_CELLULITIS	Cellulitis	XII Diseases of the skin and subcutaneous tissue (L12_)	9428	470507
L12_CHLOASMA	Chloasma	XII Diseases of the skin and subcutaneous tissue (L12_)	142	465673
L12_CHRONICULCEROFSKIN	Chronic ulcer of skin, not elsewhere classified	XII Diseases of the skin and subcutaneous tissue (L12_)	2511	465673
L12_CORNSANDCALLOS	Corns and callosities	XII Diseases of the skin and subcutaneous tissue (L12_)	2582	465673
L12_CUTLAXSEN	Cutis laxa senilis	XII Diseases of the skin and subcutaneous tissue (L12_)	253	482972
L12_DECUBITANSULCERANDPRESSURE	Decubitus ulcer and pressure area	XII Diseases of the skin and subcutaneous tissue (L12_)	2121	465673
L12_DERMATHERP	Dermatitis herpetiformis	XII Diseases of the skin and subcutaneous tissue (L12_)	651	498266
L12_DERMATITISECZEMA	Dermatitis and eczema	XII Diseases of the skin and subcutaneous tissue (L12_)	67474	432874
L12_DERMATITISNAS	Dermatitis	XII Diseases of the skin and subcutaneous tissue (L12_)	31083	432874
L12_DERM_NUMMULAR	Nummular dermatitis	XII Diseases of the skin and subcutaneous tissue (L12_)	3098	432874
L12_DIAPER	Diaper [napkin] dermatitis	XII Diseases of the skin and subcutaneous tissue (L12_)	52	432874
L12_DISORDSKINAPPENDIX	Disorders of skin appendages	XII Diseases of the skin and subcutaneous tissue (L12_)	23944	476404
L12_DYSHIDROSIS	Dyshidrosis [pompholyx]	XII Diseases of the skin and subcutaneous tissue (L12_)	572	432874
L12_ECCRINESWEAT	Eccrine sweat disorders	XII Diseases of the skin and subcutaneous tissue (L12_)	86	476404
L12_EPIDERMALTHICKOTH	Other epidermal thickening	XII Diseases of the skin and subcutaneous tissue (L12_)	1569	465673
L12_EPIDERMTHICKNAS	Other and unspecified epidermal thickening	XII Diseases of the skin and subcutaneous tissue (L12_)	949	465673
L12_ERTYTH_TOXIC	Toxic erythema	XII Diseases of the skin and subcutaneous tissue (L12_)	65	482901
L12_ERYTHEMAMULTIF	Erythema multiforme	XII Diseases of the skin and subcutaneous tissue (L12_)	832	482901
L12_ERYTHEMANODOSUM	Erythema nodosum	XII Diseases of the skin and subcutaneous tissue (L12_)	1096	482901
L12_ERYTHEMATOUSOTH	Other erythematous conditions	XII Diseases of the skin and subcutaneous tissue (L12_)	1240	482901
L12_ERYTHINOTH	Erythema in diseases classified elsewhere	XII Diseases of the skin and subcutaneous tissue (L12_)	73	482901
L12_ERYTHRASMA	Erythrasma	XII Diseases of the skin and subcutaneous tissue (L12_)	73	470507
L12_ERYTHRO_KELA	Universal erythroderma, KELA reimbursement	XII Diseases of the skin and subcutaneous tissue (L12_)	511	482901
L12_ERYTH_ANNULCENTRIFUG	Erythema annulare centrifugum	XII Diseases of the skin and subcutaneous tissue (L12_)	59	482901
L12_ERYT_INTERTRIG	Erythema intertrigo	XII Diseases of the skin and subcutaneous tissue (L12_)	803	432874
L12_EXFOLIATIVE	Exfoliative dermatitis	XII Diseases of the skin and subcutaneous tissue (L12_)	380	432874
L12_FACTITIALDERMAT	Factitial dermatitis	XII Diseases of the skin and subcutaneous tissue (L12_)	180	465673
L12_FOLICULAROTH	Other follicular disorders	XII Diseases of the skin and subcutaneous tissue (L12_)	2778	476404
L12_FOLLICULARCYST	Follicular cysts of skin and subcutaneous tissue	XII Diseases of the skin and subcutaneous tissue (L12_)	7729	476404
L12_FOLLICULARNAS	Other and unspecified follicular disorders	XII Diseases of the skin and subcutaneous tissue (L12_)	1398	476404
L12_FOLLICULITDECALV	Folliculitis decalvans	XII Diseases of the skin and subcutaneous tissue (L12_)	68	476404
L12_FOODDERMAT	Dermatitis due to ingested food	XII Diseases of the skin and subcutaneous tissue (L12_)	1508	432874
L12_FOREIGNBODYGRANULOMA	Foreign body granuloma of skin and subcutaneous tissue	XII Diseases of the skin and subcutaneous tissue (L12_)	117	465673
L12_GRANUANNU	Granuloma annulare	XII Diseases of the skin and subcutaneous tissue (L12_)	513	465673
L12_GRANULOMASKINNAS	Other and unspecified granulomatous disorders of skin and subcutaneous tissue	XII Diseases of the skin and subcutaneous tissue (L12_)	124	465673
L12_GRANULOMATOUSSKIN	Granulomatous disorders of skin and subcutaneous tissue	XII Diseases of the skin and subcutaneous tissue (L12_)	947	465673
L12_GROVER	Transient acantholytic dermatosis [Grover]	XII Diseases of the skin and subcutaneous tissue (L12_)	56	498266
L12_HAIRCOLOUR	Hair colour and hair shaft abnormalities	XII Diseases of the skin and subcutaneous tissue (L12_)	137	476404
L12_HAIRLOSSNONSCAR	Other nonscarring hair loss	XII Diseases of the skin and subcutaneous tissue (L12_)	319	476404
L12_HAIRLOSSSCAR	Cicatricial alopecia [scarring hair loss]	XII Diseases of the skin and subcutaneous tissue (L12_)	260	476404
L12_HAIRLOSS_NONSCARNAS	Other and unspecified nonscarring hair loss	XII Diseases of the skin and subcutaneous tissue (L12_)	233	476404
L12_HAIRLOSS_SCARNAS	Other and unspecified cicatricial alopecia	XII Diseases of the skin and subcutaneous tissue (L12_)	84	476404
L12_HIDRADENITISSUP	Hidradenitis suppurativa	XII Diseases of the skin and subcutaneous tissue (L12_)	1364	476404
L12_HIRSUTISM	Hirsutism in women	XII Diseases of the skin and subcutaneous tissue (L12_)	661	267178
L12_HIRSUTISM_ADVERSE	Hirsutism, drug-induced	XII Diseases of the skin and subcutaneous tissue (L12_)	62	500286
L12_HYPERTICHNAS	Other hypertrichosis	XII Diseases of the skin and subcutaneous tissue (L12_)	116	476404
L12_HYPERTROPHICNAS	Other and unspecified hypertrophic disorders of skin	XII Diseases of the skin and subcutaneous tissue (L12_)	214	465673
L12_HYPETROPHICSCAR	Hypertrophic scar	XII Diseases of the skin and subcutaneous tissue (L12_)	2068	465673
L12_IMPETIGO	Impetigo	XII Diseases of the skin and subcutaneous tissue (L12_)	1734	470507
