phenocode	phenotype	category	num_cases	num_controls
E4_LIPOMATOSIS	Lipomatosis, not elsewhere classified	IV Endocrine, nutritional and metabolic diseases (E4_)	96	420066
E4_LIPOPROT	Disorders of lipoprotein metabolism and other lipidaemias	IV Endocrine, nutritional and metabolic diseases (E4_)	59366	420066
E4_LIPOPROTNAS	Disorder of lipoprotein metabolism, unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	5471	420066
E4_LOCALADIP	Localized adiposity	IV Endocrine, nutritional and metabolic diseases (E4_)	172	468693
E4_MALNUTRITION	Malnutrition	IV Endocrine, nutritional and metabolic diseases (E4_)	670	499678
E4_MARAKWASH	Marasmic kwashiorkor	IV Endocrine, nutritional and metabolic diseases (E4_)	77	499678
E4_MARASMUS	Nutritional marasmus	IV Endocrine, nutritional and metabolic diseases (E4_)	55	499678
E4_METABOLIA	Metabolic disorders	IV Endocrine, nutritional and metabolic diseases (E4_)	80282	420066
E4_METABONAS	Metabolic disorder, other/unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	102	420066
E4_MG_DEF	Magnesium deficiency	IV Endocrine, nutritional and metabolic diseases (E4_)	94	467142
E4_MG_MET	Disorders of magnesium metabolism	IV Endocrine, nutritional and metabolic diseases (E4_)	230	420066
E4_MINERAL_MET	Disorders of mineral metabolism	IV Endocrine, nutritional and metabolic diseases (E4_)	3094	420066
E4_MINERAL_METNAS	Disorder of mineral metabolism, other/unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	78	420066
E4_NONTOXIC_THYROID	Nontoxic goitre/thyroid nodule	IV Endocrine, nutritional and metabolic diseases (E4_)	12852	487496
E4_NUTRI_DEF_NAS	Other specified/unspecified nutritional deficiencies	IV Endocrine, nutritional and metabolic diseases (E4_)	258	467142
E4_OBESITY	Obesity	IV Endocrine, nutritional and metabolic diseases (E4_)	31499	468693
E4_OBESITYCAL	Obesity due to excess calories	IV Endocrine, nutritional and metabolic diseases (E4_)	22389	468849
E4_OBESITYDRUG	Drug-induced obesity	IV Endocrine, nutritional and metabolic diseases (E4_)	316	468849
E4_OBESITYNAS	Obesity, other/unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	15896	468849
E4_OBESITYXTRMALV	Extreme obesity with alveolar hypoventilation	IV Endocrine, nutritional and metabolic diseases (E4_)	1415	468849
E4_ODANDRO	Ovarian dysfunction: androgen excess	IV Endocrine, nutritional and metabolic diseases (E4_)	55	267780
E4_OVARDYS	Ovarian dysfunction	IV Endocrine, nutritional and metabolic diseases (E4_)	3045	267780
E4_OVARDYSNAS	Ovarian dysfunction, other/unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	202	267780
E4_OVARFAIL	Primary ovarian failure	IV Endocrine, nutritional and metabolic diseases (E4_)	655	267780
E4_PANCSECNAS	Disorder of pancreatic internal secretion, other and/or unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	250	496961
E4_PARANAS	Disorders of parathyroid gland, other and/or unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	234	479069
E4_PARATHYRO	Disorders of parathyroid gland	IV Endocrine, nutritional and metabolic diseases (E4_)	8655	479069
E4_PCOS	Polycystic ovarian syndrome	IV Endocrine, nutritional and metabolic diseases (E4_)	2214	267780
E4_PCOS_BROAD	Polycystic ovarian syndrome, broad definition	IV Endocrine, nutritional and metabolic diseases (E4_)	4810	273021
E4_PCOS_CONCORTIUM	Polycystic ovarian syndrome, consortium definition	IV Endocrine, nutritional and metabolic diseases (E4_)	42630	239434
E4_PHOS_MET	Disorders of phosphorus metabolism and phosphatases	IV Endocrine, nutritional and metabolic diseases (E4_)	161	420066
E4_PITUDISNAS	Disorders of pituitary gland, other and/or unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	207	479069
E4_PLASMAPROT	Disorders of plasma-protein metabolism, not elsewhere classified	IV Endocrine, nutritional and metabolic diseases (E4_)	242	420066
E4_PORBILIR	Disorders of porphyrin and bilirubin metabolism	IV Endocrine, nutritional and metabolic diseases (E4_)	405	420066
E4_PORPHYNAS	Other porphyria	IV Endocrine, nutritional and metabolic diseases (E4_)	60	420066
E4_PRECOXCENTPUB	Precocious central puberty	IV Endocrine, nutritional and metabolic diseases (E4_)	219	479069
E4_PREPUB	Precocious puberty	IV Endocrine, nutritional and metabolic diseases (E4_)	176	479069
E4_PROTMALMODMILD	Protein-energy malnutrition of moderate and mild degree	IV Endocrine, nutritional and metabolic diseases (E4_)	266	499678
E4_PROTMALNAS	Unspecified protein-energy malnutrition	IV Endocrine, nutritional and metabolic diseases (E4_)	172	499678
E4_PROTMALSEVERNAS	Unspecified severe protein-energy malnutrition	IV Endocrine, nutritional and metabolic diseases (E4_)	57	499678
E4_PUBDISNAS	Disorders of puberty, other/unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	138	479069
E4_SEQUMAL	Sequelae of malnutrition and other nutritional deficiencies	IV Endocrine, nutritional and metabolic diseases (E4_)	78	467142
E4_SPHINGOLIP	Disorders of sphingolipid metabolism and other lipid storage disorders	IV Endocrine, nutritional and metabolic diseases (E4_)	123	420066
E4_TESTICDYSNAS	Testicular dysfunction, other/unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	146	211289
E4_TESTICHYPO	Testicular hypofunction	IV Endocrine, nutritional and metabolic diseases (E4_)	1107	211289
E4_THIA_DEF	Thiamine deficiency	IV Endocrine, nutritional and metabolic diseases (E4_)	184	467142
E4_THYCRISIS	Thyroid crisis or storm	IV Endocrine, nutritional and metabolic diseases (E4_)	85	424208
E4_THYMUSDIS	Diseases of thymus	IV Endocrine, nutritional and metabolic diseases (E4_)	89	479069
E4_THYMUSDISNAS	Disease of thymus, other/unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	57	479069
E4_THYROID	Disorders of the thyroid gland	IV Endocrine, nutritional and metabolic diseases (E4_)	76140	424208
E4_THYROIDITACU	Acute thyroiditis	IV Endocrine, nutritional and metabolic diseases (E4_)	143	424208
E4_THYROIDITAUTOIM	Autoimmune thyroiditis	IV Endocrine, nutritional and metabolic diseases (E4_)	688	424208
E4_THYROIDITCHRON	Chronic thyroiditis	IV Endocrine, nutritional and metabolic diseases (E4_)	141	424208
E4_THYROIDITDRUG	Drug-induced thyroiditis	IV Endocrine, nutritional and metabolic diseases (E4_)	73	424208
E4_THYROIDITNAS	Thyroiditis, unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	556	424208
E4_THYROIDITSUBAC	Subacute thyroiditis	IV Endocrine, nutritional and metabolic diseases (E4_)	1325	424208
E4_THYROIDNASOTH	Disorder of thyroid, unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	446	424208
E4_THYTOXFAC	Thyrotoxicosis factitia	IV Endocrine, nutritional and metabolic diseases (E4_)	107	489345
E4_THYTOXGOITDIF	Thyrotoxicosis with diffuse goitre	IV Endocrine, nutritional and metabolic diseases (E4_)	5996	424208
E4_THYTOXGOITMULT	Thyrotoxicosis with toxic multinodular goitre	IV Endocrine, nutritional and metabolic diseases (E4_)	2149	489345
E4_THYTOXNOD	Thyrotoxicosis with toxic single thyroid nodule	IV Endocrine, nutritional and metabolic diseases (E4_)	301	489345
E4_VIT_A_DEF	Vitamin A deficiency	IV Endocrine, nutritional and metabolic diseases (E4_)	160	467142
E4_VIT_B_DEF	Deficiency of other B group vitamins	IV Endocrine, nutritional and metabolic diseases (E4_)	763	467142
E4_VIT_D_DEF	Vitamin D deficiency	IV Endocrine, nutritional and metabolic diseases (E4_)	614	467142
E4_VOLUME	Volume depletion	IV Endocrine, nutritional and metabolic diseases (E4_)	3729	420066
EHEC	Enterohaemorrhagic Escherichia coli infection	I Certain infectious and parasitic diseases (AB1_)	53	492689
ENTEROPATH_E_COLI	Enteropathogenic Escherichia coli infection	I Certain infectious and parasitic diseases (AB1_)	96	492689
EPILEPTIC_SEIZU_RELATED_DRUGS	Epileptic seizures related to drugs	VI Diseases of the nervous system (G6_)	104	500244
EPISEIZALCO	Epileptic seizures related to alcohol	Alcohol related diseases	206	500142
ERECTILE_DYSFUNCTION	Erectile dysfunction	V Mental and behavioural disorders (F5_)	2886	215272
ESOSINOPHIL_DISEASE	Eosinophilic disease (BM)	III Diseases of the blood and blood-forming organs and certain disorders involvi	546	272877
EVER_SMOKER		Miscellaneous, not yet classified endpoints	145409	150355
F5_ADHD	Disturbance of activity and attention	V Mental and behavioural disorders (F5_)	4452	490708
F5_AGORAPHOBIA	Agoraphobia	V Mental and behavioural disorders (F5_)	1290	444414
F5_ALCOHOLAC	Acute alcohol intoxication	V Mental and behavioural disorders (F5_)	12032	468475
