pgs_id	name	trait	n_variants	ftp_scoring_file
PGS002350	pigment_TANNING.BOLT-LMM	Tanning	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002350/ScoringFiles/PGS002350.txt.gz
PGS002351	disease_THYROID_ANY_SELF_REP.BOLT-LMM	Thyroid (self-reported conditions)	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002351/ScoringFiles/PGS002351.txt.gz
PGS002352	biochemistry_Cholesterol.BOLT-LMM	Total cholesterol	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002352/ScoringFiles/PGS002352.txt.gz
PGS002353	biochemistry_Triglycerides.BOLT-LMM	Triglycerides	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002353/ScoringFiles/PGS002353.txt.gz
PGS002354	disease_T2D.BOLT-LMM	Type 2 diabetes (T2D)	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002354/ScoringFiles/PGS002354.txt.gz
PGS002355	biochemistry_VitaminD.BOLT-LMM	Vitamin D	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002355/ScoringFiles/PGS002355.txt.gz
PGS002356	body_WHRadjBMIz.BOLT-LMM	Waist-hip ratio	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002356/ScoringFiles/PGS002356.txt.gz
PGS002357	blood_WHITE_COUNT.BOLT-LMM	White blood cell count	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002357/ScoringFiles/PGS002357.txt.gz
PGS002358	disease_ASTHMA_DIAGNOSED.BOLT-LMM-BBJ	Asthma	920922	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002358/ScoringFiles/PGS002358.txt.gz
PGS002359	disease_AID_ALL.BOLT-LMM-BBJ	Autoimmune disease	920927	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002359/ScoringFiles/PGS002359.txt.gz
PGS002360	body_BMIz.BOLT-LMM-BBJ	Body mass index (BMI)	920920	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002360/ScoringFiles/PGS002360.txt.gz
PGS002361	disease_CARDIOVASCULAR.BOLT-LMM-BBJ	Cardiovascular disease	920929	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002361/ScoringFiles/PGS002361.txt.gz
PGS002362	bp_DIASTOLICadjMEDz.BOLT-LMM-BBJ	Diastolic blood pressure	920925	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002362/ScoringFiles/PGS002362.txt.gz
PGS002363	disease_ALLERGY_ECZEMA_DIAGNOSED.BOLT-LMM-BBJ	Eczema	920927	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002363/ScoringFiles/PGS002363.txt.gz
PGS002364	blood_EOSINOPHIL_COUNT.BOLT-LMM-BBJ	Eosinophil count	920929	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002364/ScoringFiles/PGS002364.txt.gz
PGS002365	biochemistry_Glucose.BOLT-LMM-BBJ	Glucose	920926	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002365/ScoringFiles/PGS002365.txt.gz
PGS002366	biochemistry_HDLcholesterol.BOLT-LMM-BBJ	HDL cholesterol	920924	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002366/ScoringFiles/PGS002366.txt.gz
PGS002367	biochemistry_HbA1c.BOLT-LMM-BBJ	HbA1c	920924	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002367/ScoringFiles/PGS002367.txt.gz
PGS002368	body_HEIGHTz.BOLT-LMM-BBJ	Height	920927	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002368/ScoringFiles/PGS002368.txt.gz
PGS002369	biochemistry_LDLdirect.BOLT-LMM-BBJ	LDL cholesterol	920930	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002369/ScoringFiles/PGS002369.txt.gz
PGS002370	blood_LYMPHOCYTE_COUNT.BOLT-LMM-BBJ	Lymphocyte count	920935	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002370/ScoringFiles/PGS002370.txt.gz
PGS002371	blood_MEAN_CORPUSCULAR_HEMOGLOBIN.BOLT-LMM-BBJ	Mean corpuscular hemoglobin	920923	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002371/ScoringFiles/PGS002371.txt.gz
PGS002372	blood_MONOCYTE_COUNT.BOLT-LMM-BBJ	Monocyte count	920930	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002372/ScoringFiles/PGS002372.txt.gz
PGS002373	blood_PLATELET_COUNT.BOLT-LMM-BBJ	Platelet count	920923	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002373/ScoringFiles/PGS002373.txt.gz
PGS002374	blood_RED_COUNT.BOLT-LMM-BBJ	Red blood cell count	920935	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002374/ScoringFiles/PGS002374.txt.gz
PGS002375	cov_SMOKING_STATUS.BOLT-LMM-BBJ	Smoking status	920934	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002375/ScoringFiles/PGS002375.txt.gz
PGS002376	bp_SYSTOLICadjMEDz.BOLT-LMM-BBJ	Systolic blood pressure	920928	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002376/ScoringFiles/PGS002376.txt.gz
