phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,phenotype_value,obs_unit_id
FLC,6946,Oy-0,,6.19,60.39,Norway,0.038,1186
FLC,8259,Bå5-1,CS76678,12.9,56.4,Sweden,0.364,1193
FLC,6943,NFA-10,CS77126,-0.6383,51.4083,UK,0.162,833
FLC,6969,Tamm-27,CS77341,23.5,60.0,Finland,2.7769999999999997,878
FLC,8430,Lisse,,4.5667,52.25,NED,1.1159999999999999,949
FLC,9057,Vinslöv,CS78847,13.9167,56.1,Sweden,0.175,953
FLC,9058,Västervik,CS78834,16.6333,57.75,Sweden,3.971,955
FLC,8233,Dem-4,CS76794,-87.1923,41.1876,US,0.627,352
FLC,8335,Lund,CS77060,13.2,55.71,Sweden,2.782,283
FLC,8326,Lis-1,CS77042,14.775,56.0328,Sweden,0.245,1212
FLC,8426,Ull1-1,CS78816,13.97,56.06,Sweden,0.017,978
FLC,5837,Bor-1,CS76453,16.2326,49.4013,Czech Republic,0.813,600
FLC,6909,Col-0,CS76778,-92.3,38.3,US,0.127,665
FLC,6243,Tottarp-2,CS77381,13.90045,56.27373,Sweden,0.248,300
FLC,6709,Bg-2,,-122.305,47.6479,US,0.5479999999999999,302
FLC,8285,DraIII-1,CS76815,16.2815,49.4112,Czech Republic,0.06,673
FLC,8313,Jm-0,,15.0,49.0,Czech Republic,0.136,274
FLC,6979,Wei-0,CS76628,8.26,47.25,SUI,0.055,312
FLC,6924,HR-5,CS76514,-0.6383,51.4083,UK,0.071,5
FLC,6982,Wt-5,CS76632,9.3,52.3,GER,0.047,706
FLC,8275,Cen-0,,0.5,49.0,France,0.899,556
FLC,7517,Vår2-6,CS78831,14.334,55.58,Sweden,1.91,320
FLC,8266,Boo2-1,,13.51,55.86,Sweden,1.266,765
FLC,7516,Vår2-1,CS78830,14.334,55.58,Sweden,1.092,328
FLC,6984,Zdr-1,CS76635,16.2544,49.3853,Czech Republic,0.044000000000000004,572
FLC,6959,Rennes-1,CS77210,-1.41,48.5,France,0.45899999999999996,344
FLC,6928,KNO-18,,-86.621,41.2816,US,0.068,979
FLC,8325,Lip-0,,19.3,50.0,Poland,0.043,1208
FLC,8314,Ka-0,,14.0,47.0,Austria,1.222,278
FLC,8290,En-1,CS76841,8.5,50.0,GER,0.157,669
FLC,8284,DraII-1,CS76813,16.2815,49.4112,Czech Republic,0.85,675
FLC,6977,Van-0,,-123.0,49.3,Canada,1.182,1172
FLC,6933,LL-0,CS77047,2.49,41.59,Spain,2.597,652
