# E. coli K-12 conditional gene essentiality across 4 minimal media.
# Source: Orth et al. 2011, Mol Syst Biol 7:535 (iJO1366), Supplementary Table 1
#   'Results of the experimental growth phenotype screen'. doi:10.1038/msb.2011.65
# Licence: CC-BY (Molecular Systems Biology open access). Redistributed with attribution.
# Retrieved 2026-08-12 via Europe PMC supplementaryFiles API (PMC3261703).
# exp_* = EXPERIMENTAL essentiality (E/N). fba_* = the PAPER's own iJO1366 FBA prediction (E/N),
#   retained as a reproduction gate -- NOT a label.
gene_id	gene	exp_glucose_aerobic	exp_glucose_anaerobic	exp_lactate_aerobic	exp_succinate_aerobic	fba_glucose_aerobic	fba_glucose_anaerobic	fba_lactate_aerobic	fba_succinate_aerobic	conditionally_essential
b1747	astA	N	N	N	N	N	N	N	N	NO
b1800	yeaU	N	N	N	N	N	N	N	N	NO
b2019	hisG	E	E	E	E	E	E	E	E	NO
b2020	hisD	E	E	E	E	E	E	E	E	NO
b2021	hisC	E	E	E	E	E	E	E	E	NO
b2025	hisF	E	E	E	E	E	E	E	E	NO
b2026	hisI	E	E	E	E	E	E	E	E	NO
b2329	aroC	E	E	E	E	E	E	E	E	NO
b2551	glyA	E	E	E	E	N	N	N	N	NO
b2599	pheA	E	E	E	E	E	E	E	E	NO
b2600	tyrA	E	E	E	E	E	E	E	E	NO
b2601	aroF	N	N	N	N	N	N	N	N	NO
b2818	argA	E	E	E	E	E	E	E	E	NO
b2838	lysA	E	E	E	E	E	E	E	E	NO
b2871	ygeX	N	N	N	N	N	N	N	N	NO
b2913	serA	E	E	E	E	N	N	N	N	NO
b3225	nanA	N	N	N	N	N	N	N	N	NO
b3281	aroE	E	E	E	E	N	N	N	N	NO
b3572	avtA	N	N	N	N	N	N	N	N	NO
b3607	cysE	E	E	E	E	E	E	E	E	NO
b3670	ilvN	N	N	N	N	N	N	N	N	NO
b3671	ilvB	N	N	N	N	N	N	N	N	NO
b3744	asnA	N	N	N	N	N	N	N	N	NO
b3770	ilvE	E	E	E	E	E	E	E	E	NO
b3772	ilvA	E	E	E	E	N	N	N	N	NO
b3829	metE	E	E	E	E	N	N	N	N	NO
b3870	glnA	E	E	E	E	N	N	N	N	NO
b3939	metB	E	E	E	E	E	E	E	E	NO
b3957	argE	E	E	E	E	E	E	E	E	NO
b3960	argH	E	E	E	E	E	E	E	E	NO
b4013	metA	E	E	E	E	E	E	E	E	NO
b4019	metH	N	N	N	N	N	N	N	N	NO
b4024	lysC	N	N	N	N	N	N	N	N	NO
b4053	alr	N	N	N	N	N	N	N	N	NO
b4054	tyrB	N	N	N	N	N	N	N	N	NO
b4388	serB	E	E	E	E	N	N	N	N	NO
b4392	slt	N	N	N	N	N	N	N	N	NO
b0052	pdxA	E	E	E	E	E	E	E	E	NO
b0109	nadC	E	E	E	E	E	E	E	E	NO
b0133	panC	E	E	E	E	E	E	E	E	NO
b0134	panB	E	E	E	E	E	E	E	E	NO
b0425	panE	N	N	N	N	N	N	N	N	NO
b0593	entC	N	N	N	N	N	N	N	N	NO
b0750	nadA	E	E	E	E	E	E	E	E	NO
b0774	bioA	E	E	E	E	N	N	N	N	NO
b0775	bioB	E	E	E	E	N	N	N	N	NO
b0776	bioF	E	E	E	E	N	N	N	N	NO
b0778	bioD	E	E	E	E	N	N	N	N	NO
b0849	grxA	N	N	N	N	N	N	N	N	NO
b0931	pncB	N	N	N	N	N	N	N	N	NO
b1636	pdxY	N	N	N	N	N	N	N	N	NO
b1638	pdxH	E	E	E	E	N	N	N	N	NO
b1991	cobT	N	N	N	N	N	N	N	N	NO
b1992	cobS	N	N	N	N	N	N	N	N	NO
b1993	cobU	N	N	N	N	N	N	N	N	NO
b2199	ccmC	N	N	N	N	N	N	N	N	NO
b2200	ccmB	N	N	N	N	N	N	N	N	NO
b2260	menE	N	N	N	N	N	N	N	N	NO
b2320	pdxB	E	E	E	E	E	E	E	E	NO
b2436	hemF	N	N	N	N	N	N	N	N	NO
b2564	pdxJ	E	E	E	E	E	E	E	E	NO
b2574	nadB	E	E	E	E	E	E	E	E	NO
b2582	trxC	N	N	N	N	N	N	N	N	NO
b2688	gshA	N	N	N	N	N	N	N	N	NO
b2889	idi	N	N	N	N	N	N	N	N	NO
b2895	fldB	N	N	N	N	N	N	N	N	NO
b2947	gshB	N	N	N	N	N	N	N	N	NO
b3360	pabA	E	E	E	E	E	E	E	E	NO
b3803	hemX	N	N	N	N	N	N	N	N	NO
b3833	ubiE	E	E	E	E	N	N	N	N	NO
b3930	menA	N	N	N	N	N	N	N	N	NO
b3994	thiC	E	E	E	E	E	E	E	E	NO
b0241	phoE	N	N	N	N	N	N	N	N	NO
b0381	ddlA	N	N	N	N	N	N	N	N	NO
b1855	lpxM	N	N	N	N	N	N	N	N	NO
b2035	wbbH	N	N	N	N	N	N	N	N	NO
b2037	rfbX	N	N	N	N	N	N	N	N	NO
b2435	amiA	N	N	N	N	N	N	N	N	NO
b3620	rfaF	N	N	N	N	N	N	N	N	NO
b3622	rfaL	N	N	N	N	N	N	N	N	NO
b3625	rfaY	N	N	N	N	N	N	N	N	NO
b3626	rfaJ	N	N	N	N	N	N	N	N	NO
b3627	rfaI	N	N	N	N	N	N	N	N	NO
b3629	rfaS	N	N	N	N	N	N	N	N	NO
b3630	rfaP	N	N	N	N	N	N	N	N	NO
b3631	rfaG	N	N	N	N	N	N	N	N	NO
b3632	rfaQ	N	N	N	N	N	N	N	N	NO
b3784	rfe	N	N	N	N	N	N	N	N	NO
b3786	rffE	N	N	N	N	N	N	N	N	NO
b3787	rffD	N	N	N	N	N	N	N	N	NO
b3788	rffG	N	N	N	N	N	N	N	N	NO
b3789	rffH	N	N	N	N	N	N	N	N	NO
b3794	rffM	N	N	N	N	N	N	N	N	NO
b4233	mpl	N	N	N	N	N	N	N	N	NO
b0312	betB	N	N	N	N	N	N	N	N	NO
