accession_id	cloned	deleterious_allele	allele_group	name	CS_number	count	latitude	longitude	group	FT16_mean
5165	FALSE	FALSE	a043	UKSE06-362	CS78802	UK	51.3	0.4	admixed	81.75
5210	FALSE	FALSE	a043	UKSE06-432	CS78803	UK	51.2	0.3	western_europe	78
5249	FALSE	TRUE	a003	NA	CS79003	UK	51.2	0.3	NA	NA
5253	FALSE	TRUE	a041	UKSE06-500	CS78805	UK	51.1	0.6	western_europe	38
5276	FALSE	TRUE	a019	UKSE06-533	CS78806	UK	51.3	1.1	western_europe	49.75
5279	FALSE	TRUE	a041	NA	CS79004	UK	51.3	1.1	NA	NA
5349	FALSE	FALSE	a009	UKSE06-639	CS78807	UK	51.1	0.4	western_europe	97.33333333
5353	FALSE	TRUE	a003	UKNW06-003	CS78792	UK	54.5	-3	western_europe	62.5
5395	FALSE	TRUE	a003	NA	CS79005	UK	54.4	-3	NA	NA
5577	FALSE	TRUE	a019	UKNW06-403	CS78797	UK	54.7	-3.4	western_europe	51
5644	FALSE	TRUE	a003	UKNW06-481	CS78798	UK	54.4	-2.9	western_europe	46.25
5651	FALSE	TRUE	a003	NA	CS79006	UK	54.4	-2.9	NA	NA
5717	FALSE	TRUE	a003	NA	CS79007	UK	54.6	-3.2	NA	NA
5718	FALSE	TRUE	a003	NA	CS79008	UK	57	-3.4	NA	NA
5720	FALSE	FALSE	a001	Cal-2	CS78781	UK	53.3	-1.6	admixed	63.33333333
5726	FALSE	TRUE	a003	Cnt-1	CS78782	UK	51.3	1.1	western_europe	48
5741	FALSE	FALSE	a049	For-2	CS78783	UK	56.6	-4.1	western_europe	88.5
5748	FALSE	TRUE	a044	Kil-0	CS78784	UK	56	-4.4	germany	41.75
5757	FALSE	TRUE	a044	Mc-1	CS78785	UK	54.6	-2.3	admixed	66.66666667
5768	FALSE	TRUE	a044	UKID63	CS78786	UK	54.1	-1.5	admixed	85
5772	FALSE	TRUE	a062	Set-1	CS78787	UK	54.1	-2.3	admixed	49
5776	FALSE	TRUE	a003	NA	CS79009	UK	52.9	-1.3	NA	NA
5779	FALSE	TRUE	a064	UKID74	CS78789	UK	51	-3.1	western_europe	67
5784	FALSE	FALSE	a039	Ty-1	CS78790	UK	56.4	-5.2	admixed	69.25
5798	FALSE	TRUE	a003	NA	CS79010	UK	53.1	-3.3	NA	NA
5800	FALSE	TRUE	a044	UKID96	CS78791	UK	57.4	-5.5	germany	39
5811	FALSE	TRUE	a064	UKID107	CS78778	UK	52.9	-3.1	admixed	46
5830	FALSE	FALSE	a088	App1-12	CS76667	SWE	56.3333	15.9667	south_sweden	75.33333333
5831	FALSE	FALSE	a009	App1-14	CS76668	SWE	56.3333	15.9667	south_sweden	93
5832	FALSE	TRUE	a044	App1-16	CS76669	SWE	56.3333	15.9667	south_sweden	87.33333333
5836	FALSE	FALSE	a054	NA	CS77906	SWE	55.86	13.51	NA	NA
5837	FALSE	FALSE	a009	Bor-1	CS76453	CZE	49.4013	16.2326	central_europe	55.25
5856	FALSE	FALSE	a001	Dör-10	CS76806	SWE	63.0167	17.4914	north_sweden	NA
5860	FALSE	FALSE	a009	NA	CS77913	SWE	62.6814	18.0165	NA	NA
5865	FALSE	FALSE	a043	Dra1-4	CS76809	SWE	55.76	14.12	south_sweden	101
5867	FALSE	FALSE	a009	Dra2-1	CS76810	SWE	55.76	14.12	south_sweden	NA
5874	FALSE	FALSE	a033	DraII-6	CS76814	CZE	49.4112	16.2815	central_europe	69.25
5890	FALSE	FALSE	a009	DraIV 1-8	CS76817	CZE	49.4112	16.2815	central_europe	55.25
5907	FALSE	FALSE	a009	DraIV 2-9	CS76818	CZE	49.4112	16.2815	central_europe	48.5
5921	FALSE	FALSE	a033	DraIV 3-7	CS76819	CZE	49.4112	16.2815	central_europe	55.75
5950	FALSE	FALSE	a039	DraIV 5-12	CS76820	CZE	49.4112	16.2815	central_europe	65.5
5984	FALSE	FALSE	a009	DraIV 6-13	CS76822	CZE	49.4112	16.2815	central_europe	41.75
5993	FALSE	FALSE	a043	DraIV 6-22	CS76823	CZE	49.4112	16.2815	central_europe	64.75
6008	FALSE	TRUE	a062	Duk	CS76824	CZE	49.1	16.2	central_europe	43
6009	FALSE	FALSE	a001	Eden-1	CS76826	SWE	62.877	18.177	north_sweden	113.5
6010	FALSE	FALSE	a001	NA	CS78000	SWE	62.877	18.177	NA	NA
6011	FALSE	FALSE	a001	Eden-6	CS76828	SWE	62.877	18.177	north_sweden	112.5
6012	FALSE	FALSE	a001	Eden-7	CS76829	SWE	62.877	18.177	north_sweden	125
6013	FALSE	FALSE	a001	Eden-9	CS76830	SWE	62.877	18.177	north_sweden	93
6016	FALSE	FALSE	a001	Eds-1	CS76834	SWE	62.9	18.4	north_sweden	83.5
6017	FALSE	FALSE	a084	Eds-9	CS76835	SWE	62.9	18.4	north_sweden	104
6019	FALSE	FALSE	a009	Fjä1-2	CS76860	SWE	56.06	14.29	south_sweden	NA
6020	FALSE	FALSE	a009	Fjä1-5	CS76861	SWE	56.06	14.29	south_sweden	87.25
6021	FALSE	FALSE	a009	Fjä2-4	CS76862	SWE	56.06	14.29	south_sweden	87
6022	FALSE	FALSE	a009	NA	CS78009	SWE	56.06	14.29	NA	NA
6023	FALSE	FALSE	a054	Fly2-1	CS76863	SWE	55.7509	13.3712	south_sweden	89.25
6024	FALSE	FALSE	a054	Fly2-2	CS76864	SWE	55.7509	13.3712	south_sweden	116
6025	FALSE	FALSE	a009	Gro-3	CS76889	SWE	62.6437	17.7339	north_sweden	NA
6030	FALSE	FALSE	a001	Grön-5	CS76893	SWE	62.806	18.1896	north_sweden	129
6034	FALSE	FALSE	a009	Hov1-7	CS76932	SWE	56.1	13.74	south_sweden	80.5
6035	FALSE	FALSE	a054	Hov1-10	CS76931	SWE	56.1	13.74	south_sweden	73.75
6036	FALSE	FALSE	a009	Hov3-2	CS76934	SWE	56.1	13.74	south_sweden	86.33333333
6038	FALSE	FALSE	a009	Hov3-5	CS76935	SWE	56.1	13.74	south_sweden	77.25
6039	FALSE	FALSE	a009	Hovdala-2	CS76937	SWE	56.1	13.74	admixed	62
6040	FALSE	FALSE	a054	Kni-1	CS76970	SWE	55.66	13.4	south_sweden	82.5
6041	FALSE	FALSE	a001	Lis-3	CS77044	SWE	56.0328	14.775	south_sweden	51.5
6042	FALSE	TRUE	a062	Lom1-1	CS77048	SWE	56.09	13.9	admixed	43
6043	FALSE	FALSE	a001	Löv-1	CS77049	SWE	62.801	18.079	north_sweden	130.6666667
6046	FALSE	FALSE	a001	Löv-5	CS77050	SWE	62.801	18.079	north_sweden	117
6064	FALSE	FALSE	a001	Nyl-2	CS77136	SWE	62.9513	18.2763	north_sweden	129.5
6069	FALSE	FALSE	a001	Nyl-7	CS77137	SWE	62.9513	18.2763	north_sweden	139
6070	FALSE	FALSE	a001	Omn-1	CS77145	SWE	62.9308	18.3448	north_sweden	119.3333333
6071	FALSE	FALSE	a001	Omn-5	CS77146	SWE	62.9308	18.3448	north_sweden	139.5
6073	FALSE	FALSE	a009	ÖMö1-7	CS77147	SWE	56.1481	15.8155	south_sweden	96.5
6074	FALSE	FALSE	a001	Ör-1	CS77150	SWE	56.4573	16.1308	south_sweden	85.75
6076	FALSE	FALSE	a004	Rev-2	CS77215	SWE	55.6942	13.4504	south_sweden	110.5
6077	FALSE	FALSE	a054	NA	CS78030	SWE	55.6942	13.4504	NA	NA
6085	FALSE	FALSE	a100	Sparta-1	CS77260	SWE	55.7097	13.2145	south_sweden	128
6086	FALSE	FALSE	a009	Sr:3	CS77267	SWE	58.9	11.2	admixed	100.75
6087	FALSE	FALSE	a009	NA	CS78033	SWE	56.4666	16.1284	NA	NA
6088	FALSE	FALSE	a048	Stu1-1	CS77285	SWE	56.4666	16.1284	south_sweden	128
6090	FALSE	FALSE	a051	T1000	CS77288	SWE	55.6525	13.2197	south_sweden	105
6091	FALSE	FALSE	a054	NA	CS78035	SWE	55.6525	13.215	NA	NA
6092	FALSE	FALSE	a009	T1020	CS77289	SWE	55.6514	13.2233	south_sweden	89.5
6094	FALSE	FALSE	a023	T1040	CS77290	SWE	55.6494	13.2147	south_sweden	92.66666667
6095	FALSE	FALSE	a100	NA	CS78039	SWE	55.6486	13.2161	NA	NA
6096	FALSE	FALSE	a009	NA	CS78040	SWE	55.6472	13.2225	NA	NA
6097	FALSE	FALSE	a054	T1070	CS77291	SWE	55.6481	13.2264	south_sweden	94
6098	FALSE	FALSE	a048	T1080	CS77292	SWE	55.6561	13.2178	south_sweden	105
6099	FALSE	FALSE	a020	T1090	CS77293	SWE	55.6575	13.2386	south_sweden	113.6666667
6100	FALSE	FALSE	a020	T1110	CS77294	SWE	55.6	13.2	south_sweden	108.3333333
6101	FALSE	FALSE	a009	NA	CS78045	SWE	55.6	13.2	NA	NA
6102	FALSE	FALSE	a009	T1130	CS77295	SWE	55.6	13.2	south_sweden	103.5
6104	FALSE	FALSE	a054	T1160	CS77296	SWE	55.7	13.2	south_sweden	109.5
6105	FALSE	FALSE	a051	T450	CS77297	SWE	55.7967	13.1211	south_sweden	87.66666667
6106	FALSE	FALSE	a009	T460	CS77298	SWE	55.7931	13.1186	south_sweden	94.75
6107	FALSE	FALSE	a100	T470	CS77299	SWE	55.7942	13.1222	south_sweden	105.25
6108	FALSE	TRUE	a042	T480	CS77300	SWE	55.7989	13.1206	western_europe	52.75
6109	FALSE	FALSE	a048	T510	CS77301	SWE	55.7936	13.1233	south_sweden	99
6111	FALSE	FALSE	a001	T530	CS77302	SWE	55.7989	13.1219	south_sweden	93.66666667
6112	FALSE	FALSE	a009	T540	CS77303	SWE	55.7967	13.1044	south_sweden	76.75
6113	FALSE	FALSE	a009	T550	CS77304	SWE	55.8078	13.1028	south_sweden	NA
6114	FALSE	FALSE	a009	T570	CS77305	SWE	55.8097	13.1342	south_sweden	92
6115	FALSE	FALSE	a009	T580	CS77306	SWE	55.8	13.1367	south_sweden	74.75
6118	FALSE	FALSE	a054	T610	CS77307	SWE	55.7	13.2	south_sweden	99.25
6119	FALSE	FALSE	a100	NA	CS78060	SWE	55.7	13.2	NA	NA
6122	FALSE	FALSE	a054	T670	CS77308	SWE	55.8364	13.3075	south_sweden	90
6123	FALSE	FALSE	a009	NA	CS78064	SWE	55.8369	13.3033	NA	NA
6124	FALSE	FALSE	a009	T690	CS77309	SWE	55.8378	13.3092	south_sweden	106
6125	FALSE	FALSE	a054	T710	CS77310	SWE	55.8403	13.3106	south_sweden	100
6126	FALSE	FALSE	a002	T720	CS77311	SWE	55.8411	13.3047	south_sweden	89
